province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Meta,Colombia,2021-08-07,3.272,-73.0877,POINT(-73.0877 3.272),86294,2157,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-28,3.272,-73.0877,POINT(-73.0877 3.272),88045,2230,,,,,"Meta, Colombia"
Meta,Colombia,2021-02-11,3.272,-73.0877,POINT(-73.0877 3.272),41611,935,40077,599,,,"Meta, Colombia"
Meta,Colombia,2021-05-09,3.272,-73.0877,POINT(-73.0877 3.272),48008,1120,46339,549,,,"Meta, Colombia"
Meta,Colombia,2021-10-13,3.272,-73.0877,POINT(-73.0877 3.272),89334,2257,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-01,3.272,-73.0877,POINT(-73.0877 3.272),88225,2230,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-01,3.272,-73.0877,POINT(-73.0877 3.272),90185,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-01,3.272,-73.0877,POINT(-73.0877 3.272),34072,745,32218,1109,,,"Meta, Colombia"
Meta,Colombia,2021-06-19,3.272,-73.0877,POINT(-73.0877 3.272),63700,1492,60108,2100,,,"Meta, Colombia"
Meta,Colombia,2021-06-18,3.272,-73.0877,POINT(-73.0877 3.272),63115,1470,59696,1949,,,"Meta, Colombia"
Meta,Colombia,2021-10-16,3.272,-73.0877,POINT(-73.0877 3.272),89546,2270,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-17,3.272,-73.0877,POINT(-73.0877 3.272),37858,815,35458,1585,,,"Meta, Colombia"
Meta,Colombia,2021-06-03,3.272,-73.0877,POINT(-73.0877 3.272),54552,1263,51872,1417,,,"Meta, Colombia"
Meta,Colombia,2021-12-17,3.272,-73.0877,POINT(-73.0877 3.272),90569,2289,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-04,3.272,-73.0877,POINT(-73.0877 3.272),90297,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-24,3.272,-73.0877,POINT(-73.0877 3.272),84147,2043,80565,1539,,,"Meta, Colombia"
Meta,Colombia,2021-04-15,3.272,-73.0877,POINT(-73.0877 3.272),44779,1024,43178,577,,,"Meta, Colombia"
Meta,Colombia,2021-03-05,3.272,-73.0877,POINT(-73.0877 3.272),42581,974,41089,518,,,"Meta, Colombia"
Meta,Colombia,2021-04-27,3.272,-73.0877,POINT(-73.0877 3.272),46289,1054,44349,886,,,"Meta, Colombia"
Meta,Colombia,2021-07-27,3.272,-73.0877,POINT(-73.0877 3.272),84721,2074,81401,1246,,,"Meta, Colombia"
Meta,Colombia,2021-12-16,3.272,-73.0877,POINT(-73.0877 3.272),90548,2289,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-17,3.272,-73.0877,POINT(-73.0877 3.272),89556,2272,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-20,3.272,-73.0877,POINT(-73.0877 3.272),89958,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-24,3.272,-73.0877,POINT(-73.0877 3.272),50638,1190,48421,1027,,,"Meta, Colombia"
Meta,Colombia,2021-08-20,3.272,-73.0877,POINT(-73.0877 3.272),87038,2192,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-15,3.272,-73.0877,POINT(-73.0877 3.272),59565,1406,57235,924,,,"Meta, Colombia"
Meta,Colombia,2021-12-05,3.272,-73.0877,POINT(-73.0877 3.272),90315,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-13,3.272,-73.0877,POINT(-73.0877 3.272),87652,2222,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-28,3.272,-73.0877,POINT(-73.0877 3.272),89663,2276,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-21,3.272,-73.0877,POINT(-73.0877 3.272),49749,1176,47997,576,,,"Meta, Colombia"
Meta,Colombia,2021-02-10,3.272,-73.0877,POINT(-73.0877 3.272),41514,933,39912,669,,,"Meta, Colombia"
Meta,Colombia,2021-09-14,3.272,-73.0877,POINT(-73.0877 3.272),87662,2223,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-23,3.272,-73.0877,POINT(-73.0877 3.272),90040,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-14,3.272,-73.0877,POINT(-73.0877 3.272),89402,2263,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-22,3.272,-73.0877,POINT(-73.0877 3.272),89995,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-15,3.272,-73.0877,POINT(-73.0877 3.272),89485,2267,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-30,3.272,-73.0877,POINT(-73.0877 3.272),90959,2303,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-03,3.272,-73.0877,POINT(-73.0877 3.272),34481,751,32605,1125,,,"Meta, Colombia"
Meta,Colombia,2021-06-17,3.272,-73.0877,POINT(-73.0877 3.272),62592,1454,59088,2050,,,"Meta, Colombia"
Meta,Colombia,2021-07-25,3.272,-73.0877,POINT(-73.0877 3.272),84363,2053,80894,1416,,,"Meta, Colombia"
Meta,Colombia,2021-04-29,3.272,-73.0877,POINT(-73.0877 3.272),46648,1065,44700,883,,,"Meta, Colombia"
Meta,Colombia,2021-02-26,3.272,-73.0877,POINT(-73.0877 3.272),42261,970,40724,567,,,"Meta, Colombia"
Meta,Colombia,2021-12-18,3.272,-73.0877,POINT(-73.0877 3.272),90598,2292,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-02,3.272,-73.0877,POINT(-73.0877 3.272),53950,1254,51552,1144,,,"Meta, Colombia"
Meta,Colombia,2021-01-18,3.272,-73.0877,POINT(-73.0877 3.272),38046,823,35869,1354,,,"Meta, Colombia"
Meta,Colombia,2021-07-10,3.272,-73.0877,POINT(-73.0877 3.272),78343,1852,74848,-75109,,,"Meta, Colombia"
Meta,Colombia,2021-02-25,3.272,-73.0877,POINT(-73.0877 3.272),42211,969,40706,536,,,"Meta, Colombia"
Meta,Colombia,2021-03-03,3.272,-73.0877,POINT(-73.0877 3.272),42498,974,40973,551,,,"Meta, Colombia"
Meta,Colombia,2021-09-15,3.272,-73.0877,POINT(-73.0877 3.272),87662,2224,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-26,3.272,-73.0877,POINT(-73.0877 3.272),89638,2276,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-06,3.272,-73.0877,POINT(-73.0877 3.272),90321,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-26,3.272,-73.0877,POINT(-73.0877 3.272),84571,2066,81159,1346,,,"Meta, Colombia"
Meta,Colombia,2021-04-28,3.272,-73.0877,POINT(-73.0877 3.272),46508,1059,44483,966,,,"Meta, Colombia"
Meta,Colombia,2021-12-15,3.272,-73.0877,POINT(-73.0877 3.272),90531,2289,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-21,3.272,-73.0877,POINT(-73.0877 3.272),89995,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-11,3.272,-73.0877,POINT(-73.0877 3.272),78343,1852,74848,-75606,,,"Meta, Colombia"
Meta,Colombia,2021-06-16,3.272,-73.0877,POINT(-73.0877 3.272),61555,1421,58137,1997,,,"Meta, Colombia"
Meta,Colombia,2021-10-11,3.272,-73.0877,POINT(-73.0877 3.272),89124,2252,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-18,3.272,-73.0877,POINT(-73.0877 3.272),89568,2273,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-18,3.272,-73.0877,POINT(-73.0877 3.272),43131,989,41677,465,,,"Meta, Colombia"
Meta,Colombia,2021-06-01,3.272,-73.0877,POINT(-73.0877 3.272),53039,1241,50616,1182,,,"Meta, Colombia"
Meta,Colombia,2021-02-27,3.272,-73.0877,POINT(-73.0877 3.272),42297,971,40754,572,,,"Meta, Colombia"
Meta,Colombia,2021-12-19,3.272,-73.0877,POINT(-73.0877 3.272),90619,2293,,,,,"Meta, Colombia"
Meta,Colombia,2021-04-14,3.272,-73.0877,POINT(-73.0877 3.272),44707,1024,43065,618,,,"Meta, Colombia"
Meta,Colombia,2021-03-06,3.272,-73.0877,POINT(-73.0877 3.272),42581,974,41089,518,,,"Meta, Colombia"
Meta,Colombia,2021-06-30,3.272,-73.0877,POINT(-73.0877 3.272),72402,1709,68576,2117,,,"Meta, Colombia"
Meta,Colombia,2021-05-22,3.272,-73.0877,POINT(-73.0877 3.272),49989,1183,48059,747,,,"Meta, Colombia"
Meta,Colombia,2021-01-30,3.272,-73.0877,POINT(-73.0877 3.272),40467,883,38592,992,,,"Meta, Colombia"
Meta,Colombia,2021-10-29,3.272,-73.0877,POINT(-73.0877 3.272),89668,2276,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-29,3.272,-73.0877,POINT(-73.0877 3.272),88102,2230,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-02,3.272,-73.0877,POINT(-73.0877 3.272),90248,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-06,3.272,-73.0877,POINT(-73.0877 3.272),86176,2156,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-02,3.272,-73.0877,POINT(-73.0877 3.272),34400,747,32317,1336,,,"Meta, Colombia"
Meta,Colombia,2021-12-13,3.272,-73.0877,POINT(-73.0877 3.272),90485,2287,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-26,3.272,-73.0877,POINT(-73.0877 3.272),51431,1205,49027,1199,,,"Meta, Colombia"
Meta,Colombia,2021-08-16,3.272,-73.0877,POINT(-73.0877 3.272),86865,2183,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-17,3.272,-73.0877,POINT(-73.0877 3.272),43100,987,41630,483,,,"Meta, Colombia"
Meta,Colombia,2021-04-03,3.272,-73.0877,POINT(-73.0877 3.272),43913,1002,42466,445,,,"Meta, Colombia"
Meta,Colombia,2021-02-09,3.272,-73.0877,POINT(-73.0877 3.272),41425,929,39813,683,,,"Meta, Colombia"
Meta,Colombia,2021-10-10,3.272,-73.0877,POINT(-73.0877 3.272),89001,2249,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-27,3.272,-73.0877,POINT(-73.0877 3.272),90122,2282,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-23,3.272,-73.0877,POINT(-73.0877 3.272),43338,991,41900,447,,,"Meta, Colombia"
Meta,Colombia,2021-08-05,3.272,-73.0877,POINT(-73.0877 3.272),86087,2148,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-31,3.272,-73.0877,POINT(-73.0877 3.272),40492,890,38733,869,,,"Meta, Colombia"
Meta,Colombia,2021-01-15,3.272,-73.0877,POINT(-73.0877 3.272),37054,807,35205,1042,,,"Meta, Colombia"
Meta,Colombia,2021-01-07,3.272,-73.0877,POINT(-73.0877 3.272),35319,762,33105,1452,,,"Meta, Colombia"
Meta,Colombia,2021-04-13,3.272,-73.0877,POINT(-73.0877 3.272),44503,1018,42933,552,,,"Meta, Colombia"
Meta,Colombia,2021-05-07,3.272,-73.0877,POINT(-73.0877 3.272),47746,1103,46080,563,,,"Meta, Colombia"
Meta,Colombia,2021-08-21,3.272,-73.0877,POINT(-73.0877 3.272),87082,2192,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-03,3.272,-73.0877,POINT(-73.0877 3.272),88369,2233,,,,,"Meta, Colombia"
Meta,Colombia,2021-02-28,3.272,-73.0877,POINT(-73.0877 3.272),42325,973,40781,571,,,"Meta, Colombia"
Meta,Colombia,2021-04-01,3.272,-73.0877,POINT(-73.0877 3.272),43842,999,42319,524,,,"Meta, Colombia"
Meta,Colombia,2021-08-18,3.272,-73.0877,POINT(-73.0877 3.272),86951,2185,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-08,3.272,-73.0877,POINT(-73.0877 3.272),86349,2166,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-25,3.272,-73.0877,POINT(-73.0877 3.272),87202,2203,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-25,3.272,-73.0877,POINT(-73.0877 3.272),90084,2282,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-08,3.272,-73.0877,POINT(-73.0877 3.272),89777,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-11,3.272,-73.0877,POINT(-73.0877 3.272),90397,2286,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-11,3.272,-73.0877,POINT(-73.0877 3.272),87626,2217,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-05,3.272,-73.0877,POINT(-73.0877 3.272),34897,756,32869,1272,,,"Meta, Colombia"
Meta,Colombia,2021-01-11,3.272,-73.0877,POINT(-73.0877 3.272),36260,784,34159,1317,,,"Meta, Colombia"
Meta,Colombia,2021-08-31,3.272,-73.0877,POINT(-73.0877 3.272),87413,2206,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-18,3.272,-73.0877,POINT(-73.0877 3.272),49305,1165,47364,776,,,"Meta, Colombia"
Meta,Colombia,2021-01-13,3.272,-73.0877,POINT(-73.0877 3.272),36668,797,34818,1053,,,"Meta, Colombia"
